date,open,high,low,close,volume,average,barCount
2026-05-04 14:04:00-04:00,415.19,415.54,415.19,415.53,35351.0,415.385,410
2026-05-04 14:06:00-04:00,415.53,415.53,414.66,414.79,42509.0,415.035,480
2026-05-04 14:08:00-04:00,414.68,415.13,414.68,414.91,57783.0,415.005,554
2026-05-04 14:10:00-04:00,414.9,414.99,414.72,414.91,52339.0,414.898,361
2026-05-04 14:12:00-04:00,414.91,414.99,414.75,414.85,35646.0,414.897,406
2026-05-04 14:14:00-04:00,414.85,414.89,414.66,414.69,29039.0,414.748,312
2026-05-04 14:16:00-04:00,414.74,414.76,414.52,414.69,30964.0,414.66,328
2026-05-04 14:18:00-04:00,414.68,414.76,414.58,414.65,32052.0,414.674,353
2026-05-04 14:20:00-04:00,414.63,414.76,414.55,414.75,29537.0,414.683,362
2026-05-04 14:22:00-04:00,414.76,414.8,414.54,414.69,34995.0,414.71,386
2026-05-04 14:24:00-04:00,414.7,414.75,414.43,414.48,45562.0,414.594,423
2026-05-04 14:26:00-04:00,414.5,414.58,414.18,414.32,40257.0,414.378,428
2026-05-04 14:28:00-04:00,414.33,414.74,414.32,414.68,47417.0,414.549,423
2026-05-04 14:30:00-04:00,414.69,414.77,414.3,414.31,37380.0,414.514,388
2026-05-04 14:32:00-04:00,414.27,414.4,414.12,414.17,31998.0,414.24,359
2026-05-04 14:34:00-04:00,414.19,414.4,414.15,414.16,26939.0,414.25,317
2026-05-04 14:36:00-04:00,414.17,414.29,414.17,414.29,23630.0,414.229,290
2026-05-04 14:38:00-04:00,414.29,414.44,414.18,414.24,34943.0,414.272,345
2026-05-04 14:40:00-04:00,414.22,414.3,414.06,414.23,44765.0,414.192,516
2026-05-04 14:42:00-04:00,414.25,414.25,413.87,413.9,40218.0,414.041,449
2026-05-04 14:44:00-04:00,413.88,413.93,413.51,413.68,43432.0,413.709,506
2026-05-04 14:46:00-04:00,413.69,414.03,413.63,414.02,58334.0,413.814,508
2026-05-04 14:48:00-04:00,414.02,414.07,413.86,413.98,34744.0,413.967,353
2026-05-04 14:50:00-04:00,413.98,414.02,413.79,413.86,29877.0,413.901,341
2026-05-04 14:52:00-04:00,413.89,413.89,413.51,413.59,85355.0,413.701,816
2026-05-04 14:54:00-04:00,413.55,413.6,413.26,413.37,67402.0,413.381,612
